FixID,Fixation X,Fixation Y,Fixation Start,Fixation End,Fixation Duration,Fixation Dispersion,element,tabName,questionID,participantID,file
52,1228.9848,469.436,921371.8775,921621.8655,249.988,0.4567,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
53,1258.1333,484.8295,921630.2,921771.8605,141.6605,0.3665,Activity_1e3sgaa,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
54,892.9091,312.9091,921830.1755,921921.815,91.6395,0.2029,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
55,932.3661,340.0269,921930.1635,922130.17,200.0065,0.3836,Flow_11xthbp,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
56,1056.8125,338.5625,922221.7815,922288.4945,66.713,0.1485,Flow_11xthbp,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
57,1058.5088,369.8228,922296.8065,922538.4275,241.621,0.3394,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
58,1692.5215,310.6783,922638.417,922888.373,249.956,0.3716,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
59,1037.2895,143.0605,922980.0585,923113.372,133.3135,0.2803,answer_area_for_questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
60,1038.7896,115.6305,923130.056,923296.7185,166.6625,0.2098,answer_area_for_questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
61,1225.5119,705.3507,923488.374,923804.9485,316.5745,0.4761,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
62,1221.5151,659.3414,923813.267,923879.9415,66.6745,0.3344,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
63,762.1389,130.7222,925113.161,925263.1485,149.9875,0.2261,answer_area_for_questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
64,630.0227,74.0682,925304.764,925488.0785,183.3145,0.1428,title-for-questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
65,581.1875,77.0417,925513.0895,925713.1235,200.034,0.1676,answer_area_for_questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
66,646.0441,270.2273,925763.101,926004.732,241.631,0.277,Participant_0irs6w9,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
67,658.9444,75.3611,926046.348,926196.331,149.983,0.1878,title-for-questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
68,575.2612,90.3617,926296.3355,926746.339,450.0035,0.2853,option-answer-for-questionID_1_option_No,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
69,906.5764,288.0455,926854.653,927012.913,158.26,0.231,Participant_00lgubq,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
70,578.1568,90.0297,927079.5905,928054.51,974.9195,0.296,option-answer-for-questionID_1_option_No,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
71,608.0429,78.65,928071.136,928362.751,291.615,0.272,title-for-questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
72,658.7167,65.1667,928387.7655,928637.738,249.9725,0.2225,title-for-questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
73,700.7565,67.0123,928654.386,929612.6085,958.2225,0.2157,title-for-questionID_1,amazon-smart-shelfs.bpmn,1,P01,C:\Users\Eye-tracking\Documents\amab\EyeMind\EyeMind-Experiment-instance\eyeMind\EyeMindApp\outputData\EyeMind_EyeMind_1690207245887_collected-data.json
